timestamp,subj,ses,day,task,run,block_num,frequency_hz,image_name,event,onset_s,duration_s
2026-07-14 10:40:18.811491,S01,1,1,frequency_flashing,1,,,,experiment_start,1.3461,1.0
2026-07-14 10:40:19.816395,S01,1,1,frequency_flashing,1,,,,waiting_for_space,2.3511,
2026-07-14 10:40:21.971524,S01,1,1,frequency_flashing,1,,,,space_pressed,4.5066,
2026-07-14 10:40:21.971524,S01,1,1,frequency_flashing,1,,,data\blank-white-screen.png,initial_fixation_onset,4.5068,5.0
2026-07-14 10:40:26.974641,S01,1,1,frequency_flashing,1,1,8,data\blank-white-screen.png,trigger_sent,9.5084,
2026-07-14 10:40:26.974641,S01,1,1,frequency_flashing,1,1,8,data\blank-white-screen.png,flash_onset,9.5084,5.0
2026-07-14 10:40:31.977087,S01,1,1,frequency_flashing,1,1,8,data\blank-white-screen.png,flash_offset,14.5098,
2026-07-14 10:40:31.977087,S01,1,1,frequency_flashing,1,1,8,data\blank-white-screen.png,delay_onset,14.51,5.0
2026-07-14 10:40:36.979950,S01,1,1,frequency_flashing,1,1,8,data\blank-white-screen.png,delay_offset,19.5119,
2026-07-14 10:40:36.979950,S01,1,1,frequency_flashing,1,2,9,data\blank-white-screen.png,trigger_sent,19.5122,
2026-07-14 10:40:36.979950,S01,1,1,frequency_flashing,1,2,9,data\blank-white-screen.png,flash_onset,19.5122,5.0
2026-07-14 10:40:41.983982,S01,1,1,frequency_flashing,1,2,9,data\blank-white-screen.png,flash_offset,24.5152,
2026-07-14 10:40:41.983982,S01,1,1,frequency_flashing,1,2,9,data\blank-white-screen.png,delay_onset,24.5154,5.0
2026-07-14 10:40:46.985295,S01,1,1,frequency_flashing,1,2,9,data\blank-white-screen.png,delay_offset,29.5158,
2026-07-14 10:40:46.985295,S01,1,1,frequency_flashing,1,3,10,data\blank-white-screen.png,trigger_sent,29.5161,
2026-07-14 10:40:46.985295,S01,1,1,frequency_flashing,1,3,10,data\blank-white-screen.png,flash_onset,29.5161,5.0
2026-07-14 10:40:51.988044,S01,1,1,frequency_flashing,1,3,10,data\blank-white-screen.png,flash_offset,34.5179,
2026-07-14 10:40:51.993293,S01,1,1,frequency_flashing,1,,,,experiment_end,34.5234,1.0
